Item,SPSS,OWL ID,FY 19 Calibration Status,Bank status fy18,NOTES,N count in 2018,N count in 2017,N count in 2015,FY18 Calibration Status,Bank status FY16,Fix in 2017,SKIP?,a_FY18,b_FY18,c_FY18,a_FY16,se of a,b_FY16,se of b,c_FY16,se of c,FINAL Resolution,Cog Level_NEW
1,@96,96,Include in FY19 calib,FY18_Calibrated&Unused,,1694,1738,1487,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.001090647,-0.5745296,0.243761,1.09340792,0,-0.521419969,0,0.19899,0,4.NBT.2,PU
2,@104,104,Include in FY19 calib,FY18_Calibrated&Unused,,2206,1582,148,Include FY18 Calib,Operational FY16,,;,1.443862235,0.4274508,0.251088,1.614375553,0,0.358295428,0,0.20001,0,2.NBT.6,CU
3,@105,105,Include in FY19 calib,FY18_Calibrated&Unused,,1705,1756,1526,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.995504765,0.0241919,0.23317,0.995504765,0,0.024191839,0,0.23317,0,2.NBT.6,CU
4,@111,111,Include in FY19 calib,FY18_Calibrated&Unused,,995,1026,876,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.570655647,-2.0035764,0.2576009,0.670983975,0,-1.760336451,0,0.19982,0,2.NBT.7,PU
5,@112,112,Include in FY19 calib,FY18_Calibrated&Unused,,4050,3818,2415,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.588967706,-0.1874138,0.12743,1.588967706,0,-0.187413798,0,0.12743,0,2.NBT.7,PU
6,@113,113,Include in FY19 calib,FY18_Calibrated&Unused,,1867,1842,1362,Include FY18 Calib,Operational FY16,,;,0.853198294,-1.5346082,0.1845931,0.938267306,0,-1.317994576,0,0.16549,0,2.NBT.7,PU
7,@119,119,Include in FY19 calib,FY18_Calibrated&Unused,,1890,1933,1609,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.006837294,-0.8582147,0.15649,1.00683729,0,-0.85821475,0,0.15649,0,5.NBT.5,PU
8,@120,120,Include in FY19 calib,FY18_Calibrated&Unused,,1219,1255,1100,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.870476412,-0.6219543,0.2656147,0.960308245,0,-0.579006609,0,0.21776,0,5.NBT.5,PU
9,@122,122,Include in FY19 calib,FY18_Calibrated&Unused,,2688,2407,1340,Include FY18 Calib,Operational FY16,,;,1.041897353,-0.1009173,0.3169173,1.107992386,0,-0.126253108,0,0.25751,0,5.NBT.5,PU
10,@128,128,Include in FY19 calib,FY18_Calibrated&Unused,,5659,5266,3403,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.184757941,-0.2013203,0.13148,1.184757919,0,-0.201320321,0,0.13148,0,4.NBT.5,CU
11,@129,129,Include in FY19 calib,FY18_Calibrated&Unused,,1617,1664,1455,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.980387353,-0.545447,0.1791804,1.068000072,0,-0.492724067,0,0.13804,0,4.NBT.5,CU
12,@130,130,Include in FY19 calib,FY18 Operational ,,5017,3873,2480,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.105118176,-0.3653674,0.22515,1.105118195,0,-0.365367356,0,0.22515,0,4.NBT.5,CU
13,@131,131,Include in FY19 calib,FY18_Calibrated&Unused,,1293,1336,1162,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.855005647,-0.6947858,0.2488904,0.942997403,0,-0.6549993,0,0.19913,0,4.NBT.3,PU
14,@207,207,Include in FY19 calib,FY18_Calibrated&Unused,,2170,1581,210,Include FY18 Calib,Operational FY16,,;,0.941141529,0.5289039,0.4202546,1.614375553,0,0.305360531,0,0.20001,0,5.NBT.3b,CU
15,@209,209,Include in FY19 calib,FY18_Calibrated&Unused,,209,217,208,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.0126932,0.2,1.614375553,0,0.940603649,0,0.2,0,5.NBT.3b,CU
16,@210,210,Include in FY19 calib,FY18_Calibrated&Unused,,1725,1594,944,Include FY18 Calib,Operational FY16,,;,1.779058882,1.1114115,0.1554043,2.551920206,0,1.130326606,0,0.21098,0,5.NBT.3b,CU
