"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.14, 0.12)","1M",12,0,6,2,4,3,4,5
"2","RDP (-0.14, 0.12)","2E",20,8,2,6,4,5,4,11
"3","RDP (-0.14, 0.12)","2M",20,8,2,6,4,5,4,11
"4","RDP (-0.14, 0.12)","2H",20,8,2,6,4,5,4,11
"5","RDP (-0.1, 0.38)","1M",15,2,7,2,4,4,4,7
"6","RDP (-0.1, 0.38)","2E",17,6,1,6,4,4,4,9
"7","RDP (-0.1, 0.38)","2M",17,6,1,6,4,4,4,9
"8","RDP (-0.1, 0.38)","2H",17,6,1,6,4,4,4,9
"9","RDP (-0.44, 0.8)","1M",19,4,4,6,5,5,4,10
"10","RDP (-0.44, 0.8)","2E",13,4,4,2,3,3,4,6
"11","RDP (-0.44, 0.8)","2M",13,4,4,2,3,3,4,6
"12","RDP (-0.44, 0.8)","2H",13,4,4,2,3,3,4,6
"13","RDP (-0.12, 0.28)","1M",14,2,4,3,5,3,3,8
"14","RDP (-0.12, 0.28)","2E",18,6,4,5,3,5,5,8
"15","RDP (-0.12, 0.28)","2M",18,6,4,5,3,5,5,8
"16","RDP (-0.12, 0.28)","2H",18,6,4,5,3,5,5,8
