Item,a,b,g,Class
1,0.82333,-1.547,0,A
2,1.0963,-1.002,0,A
3,0.82374,-0.521,0,A
4,0.94779,-0.512,0,A
5,0.90241,-0.08,0,A
6,0.95676,0.023,0,A
7,0.82843,0.045,0,A
8,0.87863,0.509,0,A
9,0.77724,1.527,0,A
10,0.38272,0.455,0,A
11,0.68503,0.86,0,A
12,2.80265,-0.397,0,A
13,0.99857,0.443,0,A
14,1.283,0.264,0,A
15,0.9273,1.169,0,A
16,1.24382,-2.004,0,A
17,1.00051,-1.674,0,A
18,0.60096,-1.471,0,A
19,0.83284,-1.369,0,A
20,1.39275,-0.971,0,A
21,0.52186,-0.497,0,A
22,0.74112,0.042,0,A
23,1.09519,0.533,0,A
24,0.46416,-1.559,0,A
25,0.58933,-1.005,0,A
26,0.73292,-0.524,0,A
27,0.69806,-0.517,0,A
28,0.92247,-1.061,0,A
29,0.77266,-1.404,0,A
30,1.41311,-1.447,0,A
31,0.8597,-1.559,0,A
32,0.63849,-0.517,0,A
33,1.73038,-0.106,0,A
34,0.86946,-0.09,0,A
35,1.02494,0.02,0,A
36,1.21146,0.042,0,A
37,0.33668,0.067,0,A
38,1.50575,1.012,0,A
39,1.15154,1.543,0,A
40,0.93603,-0.463,0,A
41,1.66122,-0.034,0,A
42,0.56012,0.263,0,A
43,0.9538,-0.537,0,A
44,0.83432,0.244,0,A
45,0.51069,0.863,0,A
46,0.96931,0.488,0,A
47,0.98398,1.457,0,A
48,1.0715,1.481,0,A
49,0.78394,1.484,0,A
50,1.13822,1.758,0,A
51,1.77147,1.861,0,A
52,0.91768,1.866,0,A
53,0.53063,1.933,0,A
54,0.60749,0.067,0,A
55,0.7952,1.012,0,A
56,0.88263,0.094,0,A
57,0.78183,1.874,0,A
58,0.70716,0.867,0,A
59,1.44252,2.21,0,A
60,0.53214,0.863,0,A
61,0.61657,-0.349,0,A
62,0.32884,0.488,0,A
63,0.44401,-1.701,0,A
64,0.71582,-0.29,0,A
65,1.00013,-0.73,0,A
66,1.55099,-0.946,0,A
67,1.11875,-0.193,0,A
68,1.30943,0.075,0,A
69,0.71398,0.488,0,A
70,0.69918,0.302,0,A
71,0.69646,1.791,0,A
72,1.04669,0.49,0,A
73,0.69365,0.451,0,A
74,0.76092,0.488,0,A
75,0.61841,0.473,0,A
76,1.21192,-0.011,0,A
77,0.56831,0.655,0,A
78,1.23941,-1.101,0,A
79,1.28625,0.313,0,A
80,0.65477,1.32,0,A
81,1.02128,-0.392,0,B
82,0.57106,-1.821,0,B
83,0.78782,1.666,0,B
84,0.79125,0.686,0,B
85,0.84264,-0.003,0,B
86,1.00075,-0.381,0,B
87,1.11892,0.573,0,B
88,1.01339,-0.028,0,B
89,1.37423,-0.37,0,B
90,1.246,-0.025,0,B
91,0.77467,0.427,0,B
92,0.95315,-2.386,0,B
93,1.43348,-1.122,0,B
94,0.84341,0.573,0,B
95,0.41404,0.411,0,B
96,0.96918,0.658,0,B
97,0.73535,0.658,0,B
98,1.261,0.254,0,B
99,1.43438,-1.226,0,B
100,1.29316,-0.37,0,B
101,0.49097,-0.318,0,B
102,0.41417,0.495,0,B
103,0.94226,0.281,0,B
104,0.62732,-0.455,0,B
105,0.47787,-0.028,0,B
106,0.85394,0.419,0,B
107,0.7734,0.533,0,B
108,1.16291,0.315,0,B
109,1.39339,1.8,0,B
110,1.34514,0.128,0,B
111,0.37923,0.748,0,B
112,0.88897,1.632,0,B
113,1.04974,0.267,0,B
114,0.98208,0.427,0,B
115,1.0761,-1.043,0,B
116,0.83615,2.035,0,B
117,1.02237,1.235,0,B
118,0.47847,0.831,0,B
119,1.28409,0.632,0,B
120,0.96074,0.905,0,B
121,0.86719,0.808,0,C
122,0.96981,-0.897,0,C
123,0.76109,-0.59,0,C
124,1.23593,-1.907,0,C
125,1.34031,0.473,0,C
126,0.65167,-0.463,0,C
127,0.63736,-0.683,0,C
128,0.8993,0.488,0,C
129,0.48358,-1.473,0,C
130,0.92527,0.488,0,C
131,0.57444,-0.473,0,C
132,0.97109,-0.166,0,C
133,0.77801,-0.536,0,C
134,1.28246,0.259,0,C
135,0.60463,-1.714,0,C
136,0.71414,-0.143,0,C
137,0.69488,-0.081,0,C
138,0.65655,-0.528,0,C
139,0.48769,-0.212,0,C
140,0.47648,0.155,0,C
141,0.51047,-1.014,0,D
142,0.57594,0.15,0,D
143,0.63564,0.278,0,D
144,0.90214,-0.538,0,D
145,0.31826,-0.126,0,D
146,0.61979,0.15,0,D
147,0.79607,0.318,0,D
148,0.54759,0.259,0,D
149,0.60453,0.155,0,D
150,0.67238,0.441,0,D
151,0.48643,0.259,0,D
152,0.48203,1.078,0,D
153,1.0356,1.575,0,D
154,0.86109,0.259,0,D
155,0.45041,0.213,0,D
156,1.52877,0.259,0,D
157,0.89807,0.817,0,D
158,0.33508,1.267,0,D
159,1.01333,1.639,0,D
160,0.61559,0.015,0,D
